time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6097.680821	61.392590	9.272721	6.620774	150
6097.680821	61.392590	9.272721	6.620774	151
6098.729647	63.646591	9.249470	6.881107	152
6099.775781	60.005306	9.242929	6.492023	153
6100.824897	61.490696	9.253444	6.645169	154
6101.869755	62.663879	9.265416	6.763202	155
6102.919943	62.358910	9.281176	6.718860	156
6103.978377	62.323643	9.261153	6.729578	157
6105.015055	61.365814	9.250591	6.633718	158
6106.060611	62.769394	9.261124	6.777730	159
6107.109510	64.130165	9.263049	6.923224	160
6108.156683	60.724285	9.263584	6.555161	161
6109.205157	63.299416	9.268852	6.829262	162
6110.250046	63.374134	9.262617	6.841926	163
6111.300760	62.407089	9.247532	6.748514	164
6112.347440	61.904297	9.270476	6.677575	165
6113.395332	62.463280	9.251371	6.751786	166
6114.442103	63.284843	9.277209	6.821539	167
6115.490296	64.131378	9.269918	6.918225	168
6116.537739	60.938087	9.232759	6.600204	169
6117.585127	64.144447	9.277805	6.913753	170
6118.632085	63.375332	9.273575	6.833971	171
6119.681492	63.115334	9.260492	6.815548	172
6120.727405	62.846638	9.235189	6.805127	173
6121.775401	63.606018	9.257926	6.870440	174
6122.822818	63.288303	9.230863	6.856164	175
6123.871214	64.063942	9.285907	6.899051	176
6124.917256	62.238487	9.257861	6.722772	177
6125.967293	63.600464	9.241366	6.882150	178
6127.012183	63.408878	9.276467	6.835455	179
6128.062552	63.284992	9.266678	6.829308	180
6129.106788	63.517910	9.272273	6.850307	181
6130.156409	63.643780	9.234571	6.891904	182
6131.202516	63.805267	9.244919	6.901659	183
6132.252608	63.058697	9.237451	6.826418	184
6133.298484	62.618324	9.262082	6.760718	185
6134.347952	64.143990	9.270411	6.919219	186
6135.392514	64.534889	9.249275	6.977292	187
6136.443001	63.598644	9.242984	6.880748	188
6137.487940	64.064903	9.268330	6.912239	189
6138.538320	64.192459	9.270779	6.924172	190
6139.583193	64.579948	9.273334	6.964049	191
6140.644258	65.401108	9.245964	7.073476	192
6141.678135	63.152061	9.232985	6.839832	193
6142.729147	64.077385	9.224389	6.946518	194
6143.772720	65.894981	9.264564	7.112584	195
6144.823973	63.631973	9.268026	6.865752	196
6145.868090	64.572258	9.235286	6.991907	197
6146.918976	64.496658	9.238249	6.981482	198
6147.963088	65.647408	9.223773	7.117197	199
6149.013511	64.707321	9.274194	6.977137	200
6150.058887	64.722427	9.259732	6.989666	201
6151.109029	65.596603	9.265212	7.079882	202
6152.153065	66.771469	9.229468	7.234596	203
6153.204476	64.444275	9.249966	6.966975	204
6154.248574	66.159378	9.269493	7.137325	205
6155.309884	66.513863	9.271137	7.174294	206
6156.344625	65.985725	9.268100	7.119661	207
6157.394535	65.093254	9.256873	7.031883	208
6158.440300	65.064842	9.248412	7.035244	209
6159.489363	66.301376	9.264404	7.156572	210
6160.534660	65.788551	9.263936	7.101577	211
6161.595770	66.764999	9.269840	7.202390	212
6162.629188	66.578430	9.232755	7.211112	213
6163.679785	66.793999	9.270657	7.204883	214
6164.725515	65.676796	9.247736	7.101933	215
6165.774489	65.303833	9.250831	7.059240	216
6166.820095	66.098640	9.268828	7.131283	217
6167.870172	66.939720	9.261788	7.227516	218
6168.915434	65.336761	9.246872	7.065824	219
6169.964748	66.067596	9.232173	7.156235	220
6171.011017	65.763557	9.253325	7.107019	221
6172.060823	66.208450	9.271484	7.141085	222
6173.106050	66.245895	9.247493	7.163661	223
6174.155684	65.851730	9.261610	7.110182	224
6175.201515	66.635300	9.237292	7.213727	225
6176.250030	67.662354	9.270610	7.298587	226
6177.296704	65.105309	9.266730	7.025705	227
6178.345253	67.459290	9.227468	7.310704	228
6179.391463	65.559944	9.270202	7.072116	229
6180.440848	68.021561	9.260993	7.344954	230
6181.487041	66.732513	9.246807	7.216817	231
6182.546807	67.057068	9.235250	7.260992	232
6183.582304	65.485283	9.266866	7.066606	233
6184.631036	67.260742	9.262124	7.261914	234
6185.678069	64.990723	9.270528	7.010467	235
6186.726447	67.452087	9.270426	7.276051	236
6187.772364	65.442039	9.260771	7.066587	237
6188.821620	66.499252	9.269035	7.174345	238
6189.868037	66.351990	9.279947	7.150039	239
6190.917597	66.673088	9.251036	7.207095	240
6191.962423	66.894180	9.264427	7.220541	241
6193.022785	66.814018	9.270130	7.207452	242
6194.057880	67.001617	9.265694	7.231150	243
6195.107136	66.397278	9.248034	7.179610	244
6196.153352	66.708603	9.249084	7.212455	245
6197.202863	66.088440	9.242219	7.150712	246
6198.248654	66.236069	9.266363	7.148012	247
6199.297907	65.988449	9.266541	7.121152	248
6200.343312	66.960403	9.266022	7.226446	249
6201.392838	65.760643	9.269254	7.094492	250
6202.438734	66.265816	9.263160	7.153695	251
6203.488008	66.224403	9.238421	7.168368	252
6204.533844	66.535576	9.269327	7.178037	253
6205.583703	65.473701	9.264658	7.067039	254
6206.628609	66.027748	9.278680	7.116072	255
6207.678631	66.399612	9.262273	7.168826	0
6208.724087	66.366440	9.275134	7.155308	1
6209.773984	66.227791	9.262386	7.150187	2
6210.818838	66.322464	9.255219	7.165953	3
6211.868955	65.975296	9.278664	7.110431	4
6212.913814	66.237396	9.262001	7.151521	5
6213.964829	64.664009	9.240962	6.997541	6
6215.009130	67.616943	9.286059	7.281555	7
6216.059672	66.734673	9.269252	7.199576	8
6217.104386	65.647423	9.245790	7.100251	9
6218.154637	65.545616	9.251362	7.084970	10
6219.200313	65.939407	9.218169	7.153200	11
6220.250066	65.213089	9.232292	7.063586	12
6221.294860	65.825302	9.246607	7.118861	13
6222.344860	66.293037	9.271493	7.150201	14
6223.389877	65.446716	9.220973	7.097593	15
6224.440023	64.295509	9.267442	6.937784	16
6225.485506	65.478043	9.267874	7.065056	17
6226.535683	65.315781	9.251474	7.060041	18
6227.580440	65.063454	9.268600	7.019772	19
6228.631408	65.687965	9.232933	7.114529	20
6229.676217	64.914032	9.250545	7.017320	21
6230.725939	64.960159	9.257334	7.017157	22
6231.771315	65.268326	9.266299	7.043624	23
6232.820811	65.210602	9.273205	7.032154	24
6233.866581	64.970787	9.250663	7.023366	25
6234.916725	64.294327	9.260920	6.942543	26
6235.961465	64.316139	9.232314	6.966416	27
6237.011352	64.966087	9.270758	7.007636	28
6238.057286	65.169556	9.271151	7.029285	29
6239.106328	64.351379	9.252477	6.955044	30
6240.152402	65.165222	9.269934	7.029740	31
6241.201565	64.211548	9.246262	6.944596	32
6242.247301	64.675713	9.258814	6.985313	33
6243.296789	64.095100	9.255301	6.925232	34
6244.342766	64.388344	9.253718	6.958106	35
6245.392347	64.916832	9.254173	7.014872	36
6246.438053	64.397179	9.240243	6.969209	37
6247.487813	64.861168	9.244037	7.016542	38
6248.534038	62.301105	9.264529	6.724693	39
6249.582196	65.128174	9.260971	7.032543	40
6250.629039	63.716278	9.261766	6.879496	41
6251.677999	62.436497	9.240886	6.756549	42
6252.725134	61.180870	9.247040	6.616266	43
6253.772488	64.409645	9.260800	6.955085	44
6254.818988	62.616024	9.264496	6.758709	45
6255.879045	64.157761	9.290927	6.905421	46
6256.925580	63.557114	9.246966	6.873294	47
6257.963568	64.147446	9.244856	6.938718	48
6259.009564	61.664951	9.229733	6.681119	49
6260.058081	65.119255	9.269246	7.025302	50
6261.104550	62.390720	9.305069	6.705025	51
6262.154038	62.207874	9.277047	6.705569	52
6263.200384	63.643818	9.265914	6.868597	53
6264.248634	64.174240	9.249273	6.938301	54
6265.294636	63.546604	9.256407	6.865149	55
6266.344782	61.501595	9.254270	6.645753	56
6267.390354	62.332920	9.259476	6.731798	57
6268.439591	61.860172	9.256511	6.682882	58
6269.484520	63.478977	9.235351	6.873478	59
6270.535129	62.247746	9.276812	6.710037	60
6271.581082	60.577381	9.276321	6.530324	61
6272.640898	63.481789	9.261162	6.854625	62
6273.676640	60.498577	9.268520	6.527318	63
6274.725727	62.550083	9.233303	6.774400	64
6275.770684	62.702091	9.242910	6.783804	65
6276.820373	61.495533	9.224457	6.666575	66
6277.866193	62.807941	9.271409	6.774369	67
6278.916190	61.243229	9.274819	6.603172	68
6279.962325	60.707558	9.221987	6.582916	69
6281.011805	60.700291	9.263583	6.552571	70
6282.057086	61.618855	9.239479	6.669084	71
6283.106728	61.074123	9.257260	6.597430	72
6284.151704	62.113419	9.261405	6.706696	73
6285.201552	62.169743	9.254958	6.717453	74
6286.247342	60.887924	9.245258	6.585855	75
6287.297372	61.255093	9.250420	6.621872	76
6288.342011	60.891697	9.255128	6.579239	77
6289.392653	59.980289	9.225311	6.501709	78
6290.438069	59.909580	9.249088	6.477350	79
6291.487712	60.070599	9.265264	6.483421	80
6292.532670	60.629509	9.229892	6.568821	81
6293.583275	60.013863	9.246857	6.490191	82
6294.628651	61.067947	9.266295	6.590331	83
6295.678554	60.000877	9.255328	6.482847	84
6296.723937	59.808060	9.267317	6.453655	85
6297.773464	59.224499	9.265255	6.392107	86
6298.818605	60.057335	9.260224	6.485517	87
6299.868044	59.840832	9.225878	6.486195	88
6300.914090	60.652100	9.261538	6.548816	89
6301.963582	59.357323	9.277024	6.398315	90
6303.009745	57.940041	9.236983	6.272615	91
6304.059549	58.761135	9.267190	6.340772	92
6305.104767	58.781837	9.235990	6.364433	93
6306.154691	58.198212	9.253960	6.289007	94
6307.200277	59.024868	9.273987	6.364563	95
6308.250234	57.761139	9.266953	6.233024	96
6309.295262	59.548405	9.269744	6.423954	97
6310.345111	57.662819	9.234181	6.244498	98
6311.390817	59.102318	9.250749	6.388923	99
6312.440178	57.964985	9.274903	6.249659	100
6313.486120	58.842049	9.268316	6.348732	101
6314.535035	58.330536	9.258972	6.299894	102
6315.581349	56.836689	9.253373	6.142267	103
6316.630422	57.610973	9.228086	6.243004	104
6317.677690	55.320660	9.250148	5.980516	105
6318.725515	58.632633	9.264118	6.329003	106
6319.772504	56.756927	9.285586	6.112369	107
6320.820885	58.708286	9.259457	6.340360	108
6321.867399	56.369995	9.266826	6.082989	109
6322.916385	58.463791	9.258238	6.314786	110
6323.963290	55.376305	9.246763	5.988723	111
6325.011258	58.177174	9.264621	6.279499	112
6326.058409	55.870255	9.261785	6.032342	113
6327.107657	55.454239	9.263047	5.986609	114
6328.153480	55.598553	9.266073	6.000228	115
6329.203172	55.300648	9.256787	5.974065	116
6330.248684	55.380501	9.244520	5.990631	117
6331.297916	57.382935	9.266193	6.192719	118
6332.344596	54.850262	9.282975	5.908694	119
6333.393135	57.037354	9.255306	6.162665	120
6334.439520	54.682693	9.250793	5.911136	121
6335.487842	57.667160	9.265838	6.223632	122
6336.535076	54.297054	9.219552	5.889338	123
6337.583723	57.019386	9.274540	6.147948	124
6338.630597	54.021248	9.264506	5.830991	125
