time (s)	coil I (A)	last det (V)	int current (uC)
2366.425828	1.485088	0.867873	662.349182
2366.426724	1.908215	0.867873	2372.110107
2366.427697	1.858583	0.867873	4180.511230
2366.428618	1.799253	0.867873	5837.623047
2366.429517	1.742175	0.867873	7403.838867
2366.430446	1.686742	0.867873	8970.822266
2366.431358	1.633934	0.867873	10460.970703
2366.432268	1.584034	0.867873	11902.442383
2366.433167	1.536661	0.867873	13283.901367
2366.434100	1.488281	0.867873	14672.467773
2366.435008	1.443245	0.867873	15982.933594
2366.435924	1.400039	0.867873	17265.369141
2366.436820	1.358734	0.867873	18482.794922
2366.437758	1.318378	0.867873	19719.433594
2366.438669	1.280065	0.867873	20885.572266
2366.439574	0.652361	0.867873	21475.958984
2366.440500	0.091534	0.867873	21560.720703
2366.441406	0.091165	0.867873	21643.316406
2366.442305	0.091091	0.867873	21725.207031
2366.443192	0.091047	0.867873	21805.966797
2366.444133	0.091128	0.867873	21891.718750
2366.445032	0.091161	0.867873	21973.671875
2366.445938	0.091084	0.867873	22056.193359
2366.446825	0.091110	0.867873	22137.007812
2366.447756	0.091208	0.867873	22221.923828
2366.448658	0.091106	0.867873	22304.101562
2367.469260	1.466367	0.875261	645.201538
2367.470156	1.907194	0.875261	2354.046875
2367.471135	1.858909	0.875261	4173.918457
2367.472049	1.799788	0.875261	5818.924316
2367.472947	1.742739	0.875261	7383.904297
2367.473887	1.686489	0.875261	8969.204102
2367.474807	1.633272	0.875261	10471.814453
2367.475715	1.583745	0.875261	11909.855469
2367.476612	1.535486	0.875261	13287.186523
2367.477569	1.486802	0.875261	14710.055664
2367.478484	1.441739	0.875261	16029.247070
2367.479390	1.398453	0.875261	17296.246094
2367.480325	1.357335	0.875261	18565.355469
2367.481231	1.317213	0.875261	19758.750000
2367.482136	1.279098	0.875261	20916.333984
2367.483030	0.631659	0.875261	21481.037109
2367.483977	0.091271	0.875261	21567.470703
2367.484875	0.091132	0.875261	21649.306641
2367.485775	0.091106	0.875261	21731.302734
2367.486666	0.091168	0.875261	21812.533203
2367.487618	0.091121	0.875261	21899.279297
2367.488527	0.091011	0.875261	21982.007812
2367.489424	0.091099	0.875261	22063.722656
2367.490350	0.091179	0.875261	22148.154297
2367.491250	0.091110	0.875261	22230.152344
2367.492140	0.091069	0.875261	22311.203125
2368.520655	1.463712	0.799783	649.888184
2368.521631	1.906604	0.799783	2510.733643
2368.522529	1.858634	0.799783	4179.787109
2368.523425	1.800571	0.799783	5793.098633
2368.524364	1.741758	0.799783	7428.609375
2368.525289	1.685383	0.799783	8987.588867
2368.526196	1.633403	0.799783	10469.085937
2368.527096	1.584185	0.799783	11894.852539
2368.528029	1.535266	0.799783	13327.255859
2368.528943	1.487373	0.799783	14686.714844
2368.529837	1.443611	0.799783	15977.302734
2368.530773	1.399878	0.799783	17287.587891
2368.531679	1.358335	0.799783	18518.238281
2368.532581	1.318733	0.799783	19707.736328
2368.533477	1.281090	0.799783	20855.593750
2368.534449	0.612524	0.799783	21450.966797
2368.535347	0.091311	0.799783	21532.964844
2368.536251	0.091139	0.799783	21615.353516
2368.537139	0.091165	0.799783	21696.308594
2368.538083	0.091165	0.799783	21782.367187
2368.538985	0.091124	0.799783	21864.560547
2368.539875	0.091146	0.799783	21945.681641
2368.540802	0.091157	0.799783	22030.183594
2368.541704	0.091139	0.799783	22112.390625
2368.542602	0.091106	0.799783	22194.203125
2368.543486	0.091102	0.799783	22274.738281
2369.565157	1.497433	0.868341	690.316528
2369.566055	1.907765	0.868341	2403.489258
2369.567006	1.859106	0.868341	4171.499512
2369.567920	1.799747	0.868341	5816.468750
2369.568818	1.742395	0.868341	7381.139648
2369.569712	1.688064	0.868341	8890.268555
2369.570659	1.634392	0.868341	10438.038086
2369.571578	1.584115	0.868341	11893.839844
2369.572476	1.536409	0.868341	13273.535156
2369.573408	1.488981	0.868341	14661.265625
2369.574319	1.443424	0.868341	15976.224609
2369.575234	1.399830	0.868341	17257.070312
2369.576132	1.358822	0.868341	18477.292969
2369.577080	1.318096	0.868341	19726.847656
2369.577993	1.279856	0.868341	20895.355469
2369.578895	0.644740	0.868341	21476.910156
2369.579781	0.091461	0.868341	21557.945312
2369.580716	0.091234	0.868341	21643.250000
2369.581626	0.091080	0.868341	21726.132812
2369.582521	0.091106	0.868341	21807.671875
2369.583449	0.091241	0.868341	21892.343750
2369.584346	0.091135	0.868341	21974.091797
2369.585251	0.091102	0.868341	22056.539062
2369.586147	0.091073	0.868341	22138.140625
2369.587091	0.091223	0.868341	22224.255859
2369.587984	0.091187	0.868341	22305.685547
2370.616548	1.464818	0.831030	679.675598
2370.617486	1.907058	0.831030	2468.496338
2370.618405	1.858180	0.831030	4176.164062
2370.619302	1.799784	0.831030	5790.570312
2370.620242	1.740901	0.831030	7427.017090
2370.621150	1.685863	0.831030	8957.781250
2370.622061	1.633828	0.831030	10446.199219
2370.622961	1.584185	0.831030	11871.965820
2370.623913	1.534310	0.831030	13332.628906
2370.624821	1.487314	0.831030	14683.110352
2370.625728	1.442531	0.831030	15991.485352
2370.626664	1.398955	0.831030	17300.906250
2370.627569	1.357324	0.831030	18529.285156
2370.628486	1.317133	0.831030	19737.095703
2370.629380	1.279805	0.831030	20881.240234
2370.630333	0.588973	0.831030	21442.531250
2370.631235	0.091183	0.831030	21524.777344
2370.632138	0.091011	0.831030	21606.960937
2370.633028	0.091025	0.831030	21687.972656
2370.633977	0.091219	0.831030	21774.539062
2370.634878	0.091018	0.831030	21856.546875
2370.635773	0.091135	0.831030	21938.113281
2370.636703	0.091165	0.831030	22022.896484
2370.637606	0.091198	0.831030	22105.248047
2370.638495	0.091121	0.831030	22186.253906
2370.639378	0.091102	0.831030	22266.697266
2371.663056	1.475585	0.851144	655.159607
2371.664017	1.906454	0.851144	2487.261963
2371.664930	1.857927	0.851144	4183.549805
2371.665828	1.799315	0.851144	5799.334961
2371.666740	1.741798	0.851144	7387.854492
2371.667643	1.686551	0.851144	8910.810547
2371.668602	1.632576	0.851144	10476.450195
2371.669525	1.582467	0.851144	11937.067383
2371.670427	1.534178	0.851144	13320.896484
2371.671387	1.484912	0.851144	14746.412109
2371.672303	1.439872	0.851144	16065.334961
2371.673198	1.397443	0.851144	17316.046875
2371.674129	1.356130	0.851144	18578.603516
2371.675045	1.315430	0.851144	19783.537109
2371.675952	1.277805	0.851144	20942.505859
2371.676848	0.594320	0.851144	21475.015625
2371.677791	0.091099	0.851144	21560.921875
2371.678700	0.091102	0.851144	21643.734375
2371.679619	0.091084	0.851144	21727.441406
2371.680507	0.091117	0.851144	21808.353516
2371.681460	0.091124	0.851144	21895.195312
2371.682365	0.091099	0.851144	21977.638672
2371.683253	0.091084	0.851144	22058.521484
2371.684199	0.091238	0.851144	22144.832031
2371.685091	0.091077	0.851144	22226.072266
2371.685978	0.091095	0.851144	22306.873047
2372.711399	1.504790	0.792395	693.708191
2372.712294	1.907596	0.792395	2401.006836
2372.713244	1.859227	0.792395	4167.272949
2372.714155	1.799498	0.792395	5806.615723
2372.715063	1.742076	0.792395	7388.420898
2372.715960	1.687980	0.792395	8902.539062
2372.716907	1.634022	0.792395	10449.958008
2372.717821	1.583837	0.792395	11897.584961
2372.718731	1.535753	0.792395	13295.120117
2372.719641	1.488289	0.792395	14649.462891
2372.720561	1.443274	0.792395	15977.275391
2372.721474	1.399625	0.792395	17255.132812
2372.722373	1.359031	0.792395	18476.902344
2372.723324	1.318235	0.792395	19730.542969
2372.724226	1.279515	0.792395	20884.666016
2372.725139	0.642861	0.792395	21471.597656
2372.726032	0.091425	0.792395	21553.240234
2372.726980	0.091172	0.792395	21639.671875
2372.727884	0.091113	0.792395	21722.039062
2372.728780	0.091058	0.792395	21803.626953
2372.729695	0.091102	0.792395	21886.986328
2372.730611	0.091150	0.792395	21970.480469
2372.731516	0.091154	0.792395	22052.974609
2372.732410	0.091080	0.792395	22134.400391
2372.733350	0.091113	0.792395	22220.046875
2372.734246	0.091157	0.792395	22301.724609
2373.758165	1.484678	0.838326	669.589661
2373.759065	1.907798	0.838326	2386.607910
2373.760028	1.858392	0.838326	4176.239746
2373.760937	1.799506	0.838326	5811.990234
2373.761840	1.742249	0.838326	7385.240723
2373.762733	1.687654	0.838326	8892.315430
2373.763689	1.633762	0.838326	10454.192383
2373.764595	1.583881	0.838326	11889.188477
2373.765499	1.536189	0.838326	13277.903320
2373.766436	1.488417	0.838326	14672.549805
2373.767349	1.442728	0.838326	15989.760742
2373.768252	1.399948	0.838326	17253.914062
2373.769152	1.358939	0.838326	18476.958984
2373.770107	1.317649	0.838326	19735.314453
2373.771017	1.279391	0.838326	20899.560547
2373.771926	0.629586	0.838326	21471.853516
2373.772814	0.091454	0.838326	21553.064453
2373.773750	0.091256	0.838326	21638.480469
2373.774652	0.091047	0.838326	21720.605469
2373.775548	0.091128	0.838326	21802.255859
2373.776477	0.091198	0.838326	21886.978516
2373.777384	0.091157	0.838326	21969.658203
2373.778288	0.091084	0.838326	22051.998047
2373.779178	0.091124	0.838326	22133.099609
2373.780127	0.091227	0.838326	22219.673828
2373.781031	0.091135	0.838326	22302.060547
2374.807514	1.483213	0.834394	658.546570
2374.808419	1.906890	0.834394	2384.281738
2374.809348	1.859912	0.834394	4112.140137
2374.810244	1.801066	0.834394	5725.895020
2374.811203	1.741630	0.834394	7396.117676
2374.812099	1.687266	0.834394	8907.908203
2374.812993	1.636230	0.834394	10370.698242
2374.813935	1.585217	0.834394	11863.972656
2374.814842	1.536368	0.834394	13257.458984
2374.815764	1.488805	0.834394	14630.136719
2374.816669	1.443992	0.834394	15936.949219
2374.817630	1.398765	0.834394	17281.162109
2374.818553	1.356984	0.834394	18533.658203
2374.819451	1.317620	0.834394	19716.880859
2374.820370	1.279493	0.834394	20892.734375
2374.821302	0.609283	0.834394	21460.585937
2374.822192	0.091249	0.834394	21541.796875
2374.823081	0.091165	0.834394	21622.841797
2374.824031	0.091176	0.834394	21709.458984
2374.824932	0.091047	0.834394	21791.492187
2374.825823	0.091095	0.834394	21872.658203
2374.826754	0.091150	0.834394	21957.519531
2374.827664	0.091091	0.834394	22040.412109
2374.828569	0.091025	0.834394	22122.791016
2374.829467	0.091047	0.834394	22204.550781
2374.830414	0.091132	0.834394	22290.851562
2375.855302	1.450400	0.849464	626.572937
2375.856247	1.906355	0.849464	2428.078369
2375.857161	1.859110	0.849464	4127.304687
2375.858079	1.799868	0.849464	5779.583496
2375.858974	1.743043	0.849464	7339.607422
2375.859924	1.686350	0.849464	8941.639648
2375.860839	1.633791	0.849464	10436.558594
2375.861747	1.584148	0.849464	11874.964844
2375.862644	1.536013	0.849464	13252.768555
2375.863579	1.488076	0.849464	14644.120117
2375.864491	1.442919	0.849464	15960.061523
2375.865392	1.400314	0.849464	17221.744141
2375.866318	1.358694	0.849464	18479.894531
2375.867227	1.318696	0.849464	19678.589844
2375.868141	1.280398	0.849464	20848.873047
2375.869046	0.681401	0.849464	21465.541016
2375.869993	0.091388	0.849464	21552.085937
2375.870899	0.091113	0.849464	21634.634766
2375.871793	0.091099	0.849464	21716.076172
2375.872702	0.091077	0.849464	21798.865234
2375.873627	0.091208	0.849464	21883.232422
2375.874537	0.091062	0.849464	21966.099609
2375.875432	0.091113	0.849464	22047.646484
2375.876352	0.091139	0.849464	22131.494141
2375.877251	0.091088	0.849464	22213.382812
2375.878151	0.091066	0.849464	22295.341797
2376.902348	1.464313	0.784310	647.226196
2376.903334	1.905110	0.784310	2525.664551
2376.904253	1.855803	0.784310	4231.147461
2376.905152	1.797631	0.784310	5847.217285
2376.906107	1.738854	0.784310	7507.822754
2376.907004	1.683567	0.784310	9017.982422
2376.907911	1.631993	0.784310	10498.200195
2376.908807	1.582716	0.784310	11916.313477
2376.909756	1.532860	0.784310	13370.998047
2376.910667	1.485330	0.784310	14724.132812
2376.911573	1.441036	0.784310	16029.711914
2376.912465	1.398285	0.784310	17276.982422
2376.913417	1.355717	0.784310	18567.625000
2376.914335	1.315906	0.784310	19775.626953
2376.915230	1.278464	0.784310	20919.851562
2376.916199	0.555861	0.784310	21458.480469
2376.917095	0.091073	0.784310	21540.082031
2376.917997	0.091121	0.784310	21622.273437
2376.918887	0.091132	0.784310	21703.380859
2376.919826	0.091198	0.784310	21789.015625
2376.920728	0.091124	0.784310	21871.208984
2376.921633	0.091110	0.784310	21953.664062
2376.922526	0.091113	0.784310	22035.027344
2376.923468	0.091179	0.784310	22120.917969
2376.924377	0.091099	0.784310	22203.726562
2376.925264	0.091106	0.784310	22284.537109
2377.950160	1.471802	0.865924	650.536377
2377.951073	1.907073	0.865924	2391.693848
2377.951987	1.860201	0.865924	4091.917969
2377.952885	1.802479	0.865924	5710.544434
2377.953832	1.742845	0.865924	7361.019043
2377.954745	1.687460	0.865924	8901.669922
2377.955667	1.635106	0.865924	10409.238281
2377.956563	1.585221	0.865924	11829.595703
2377.957500	1.535599	0.865924	13268.452148
2377.958411	1.488845	0.865924	14624.790039
2377.959309	1.444435	0.865924	15921.892578
2377.960250	1.400416	0.865924	17239.683594
2377.961160	1.358580	0.865924	18475.992187
2377.962086	1.318334	0.865924	19696.769531
2377.962984	1.280691	0.865924	20846.830078
2377.963948	0.608119	0.865924	21433.056641
2377.964846	0.091278	0.865924	21515.023437
2377.965739	0.091106	0.865924	21596.380859
2377.966683	0.091183	0.865924	21682.457031
2377.967580	0.091124	0.865924	21764.195312
2377.968484	0.091183	0.865924	21846.625000
2377.969373	0.091113	0.865924	21927.625000
2377.970327	0.091176	0.865924	22014.607422
2377.971235	0.091088	0.865924	22097.314453
2377.972125	0.091047	0.865924	22178.345703
2377.973046	0.091143	0.865924	22262.287109
2378.998220	1.465847	0.786364	644.972717
2378.999175	1.905396	0.786364	2464.625488
2379.000096	1.857609	0.786364	4175.482910
2379.000996	1.799257	0.786364	5794.813965
2379.001896	1.742402	0.786364	7362.976074
2379.002834	1.685977	0.786364	8944.421875
2379.003742	1.633832	0.786364	10427.941406
2379.004647	1.584617	0.786364	11862.019531
2379.005544	1.536211	0.786364	13240.000977
2379.006509	1.487069	0.786364	14675.022461
2379.007420	1.442080	0.786364	15988.757812
2379.008318	1.399446	0.786364	17245.460937
2379.009275	1.357196	0.786364	18544.296875
2379.010183	1.317078	0.786364	19740.203125
2379.011079	1.279266	0.786364	20886.425781
2379.011977	0.648761	0.786364	21469.013672
2379.012922	0.091117	0.786364	21555.119141
2379.013827	0.091040	0.786364	21637.509766
2379.014732	0.091080	0.786364	21719.937500
2379.015622	0.091044	0.786364	21800.966797
2379.016579	0.091143	0.786364	21888.189453
2379.017479	0.091036	0.786364	21970.123047
2379.018370	0.091088	0.786364	22051.281250
2379.019305	0.091198	0.786364	22136.550781
2379.020203	0.091190	0.786364	22218.439453
2379.021098	0.091058	0.786364	22299.937500
2380.047836	1.478547	0.818716	675.696167
2380.048737	1.907047	0.818716	2393.945801
2380.049703	1.858011	0.818716	4188.784668
2380.050617	1.798121	0.818716	5832.267578
2380.051516	1.740930	0.818716	7397.363770
2380.052453	1.685222	0.818716	8976.416992
2380.053363	1.632935	0.818716	10462.387695
2380.054269	1.583276	0.818716	11896.835937
2380.055165	1.535870	0.818716	13272.975586
2380.056111	1.487109	0.818716	14679.781250
2380.057011	1.442274	0.818716	15977.828125
2380.057919	1.399479	0.818716	17248.554687
2380.058815	1.358137	0.818716	18465.445312
2380.059772	1.317418	0.818716	19726.214844
2380.060685	1.279303	0.818716	20894.218750
2380.061581	0.642411	0.818716	21469.818359
2380.062517	0.091432	0.818716	21555.398437
2380.063420	0.091179	0.818716	21637.732422
2380.064318	0.091113	0.818716	21719.552734
2380.065207	0.091066	0.818716	21800.509766
2380.066151	0.091113	0.818716	21886.521484
2380.067044	0.091179	0.818716	21967.945312
2380.067947	0.091062	0.818716	22050.173828
2380.068832	0.091095	0.818716	22130.792969
2380.069768	0.091150	0.818716	22216.109375
2380.070669	0.091066	0.818716	22298.160156
2381.093582	1.469319	0.772628	650.908264
2381.094489	1.907311	0.772628	2380.839111
2381.095380	1.860388	0.772628	4038.444824
2381.096344	1.800150	0.772628	5773.789551
2381.097258	1.742190	0.772628	7366.151367
2381.098153	1.688284	0.772628	8877.165039
