crossing time (s)	slope (V/s)	crossing number
3706.653644	16.691063	3254
3707.704527	18.135102	3255
3708.742512	17.310512	3256
3709.803444	16.537287	3257
3710.839125	17.043262	3258
3711.895912	17.612872	3259
3712.929731	17.849048	3260
3713.993238	16.363284	3261
3715.026788	17.419894	3262
3716.087572	17.612414	3263
3717.118602	16.676743	3264
3718.184344	17.312994	3265
3719.215534	17.222800	3266
3720.277077	17.445649	3267
3721.309454	17.607592	3268
3722.371350	16.473250	3269
3723.406662	17.317643	3270
3724.462236	17.852357	3271
3725.501864	16.800815	3272
3726.557889	17.151058	3273
3727.599215	17.391916	3274
3728.649481	17.091700	3275
3729.694795	17.510227	3276
3730.743144	17.304203	3277
3731.792899	16.545620	3278
3732.836261	18.013210	3279
3733.886835	17.344084	3280
3734.931791	17.232683	3281
3735.980695	17.478795	3282
3737.025339	17.394265	3283
3738.076191	17.293822	3284
3739.121250	17.829352	3285
3740.167479	16.602469	3286
3741.220736	17.193774	3287
3742.260989	17.508958	3288
3743.316441	17.601121	3289
3744.354753	17.266390	3290
3745.413415	17.442899	3291
3746.448262	16.920775	3292
3747.506822	17.870952	3293
3748.540092	17.524791	3294
3749.602458	17.257163	3295
3750.634778	17.272503	3296
3751.698937	17.160134	3297
3752.729179	17.172890	3298
3753.793026	17.471934	3299
3754.824541	16.468673	3300
3755.886244	17.774754	3301
3756.918962	17.364319	3302
3757.981731	17.432536	3303
3759.016696	16.960613	3304
3760.076789	17.634231	3305
3761.111691	17.466148	3306
3762.167491	17.387595	3307
3763.210393	17.395176	3308
3764.262210	17.753801	3309
3765.303070	16.942701	3310
3766.353372	17.564196	3311
3767.402237	17.457436	3312
3768.447514	17.755169	3313
3769.497379	17.125553	3314
3770.541186	17.531358	3315
3771.591937	17.366011	3316
3772.634059	17.491511	3317
3773.686619	17.513728	3318
3774.731251	17.664693	3319
3775.779422	17.312578	3320
3776.825843	17.456622	3321
3777.874465	17.133638	3322
3778.924851	17.949286	3323
3779.966926	17.107381	3324
3781.017927	17.487497	3325
3782.061202	17.228136	3326
3783.115595	17.601817	3327
3784.155675	17.609596	3328
3785.210732	17.234515	3329
3786.247996	17.680808	3330
3787.306155	17.496145	3331
3788.344355	17.477437	3332
3789.401190	17.587837	3333
3790.437925	17.484889	3334
3791.494586	17.461969	3335
3792.531392	17.974333	3336
3793.589707	17.556875	3337
3794.628401	17.338835	3338
3795.682856	17.704943	3339
3796.722419	17.343360	3340
3797.775979	17.875309	3341
3798.818589	17.425325	3342
3799.870624	17.368395	3343
3800.917137	17.622211	3344
3801.963338	17.688594	3345
3803.009671	17.499171	3346
3804.055770	17.189909	3347
3805.107606	17.668733	3348
3806.149535	17.333153	3349
3807.203902	17.932699	3350
3808.245655	17.757877	3351
3809.297100	17.490238	3352
3810.341056	17.837260	3353
3811.389942	17.622970	3354
3812.436766	17.722178	3355
3813.484346	17.347124	3356
3814.534374	17.367397	3357
3815.576348	17.763391	3358
3816.630384	17.781897	3359
3817.670265	17.553549	3360
3818.726880	17.865303	3361
3819.763011	17.481832	3362
3820.818776	17.590528	3363
3821.858175	17.778301	3364
3822.918068	17.359329	3365
3823.952851	17.515310	3366
3825.011328	17.646408	3367
3826.046362	17.359210	3368
3827.105117	17.700936	3369
3828.141939	17.422437	3370
3829.202111	17.664887	3371
3830.235224	17.611892	3372
3831.294563	17.771705	3373
3832.333200	17.548051	3374
3833.386851	17.559450	3375
3834.428550	17.563176	3376
3835.479296	17.700643	3377
3836.525479	17.536595	3378
3837.573891	17.710839	3379
3838.621184	17.461658	3380
3839.668415	17.815548	3381
3840.717327	17.603248	3382
3841.760180	17.566615	3383
3842.810100	17.674465	3384
3843.856472	17.756507	3385
3844.905105	17.966638	3386
3845.950181	17.838558	3387
3847.001759	17.323624	3388
3848.045285	17.864505	3389
3849.094636	17.658634	3390
3850.141359	17.799968	3391
3851.189082	17.320145	3392
3852.238150	17.475347	3393
3853.281949	17.742682	3394
3854.332485	17.653629	3395
3855.376231	17.569224	3396
3856.429216	17.804366	3397
3857.472079	17.847228	3398
3858.522986	17.723578	3399
3859.562674	17.741998	3400
3860.621802	17.738719	3401
3861.659911	17.702965	3402
3862.711911	17.634081	3403
3863.753517	17.692275	3404
3864.807826	17.612032	3405
3865.848336	17.563278	3406
3866.901526	17.655235	3407
3867.945781	17.702982	3408
3868.997840	17.532575	3409
3870.042533	17.868804	3410
3871.089355	17.678444	3411
3872.134267	17.869550	3412
3873.182482	17.707412	3413
3874.232098	17.650147	3414
3875.277252	17.716156	3415
3876.327018	17.677955	3416
3877.370398	17.896252	3417
3878.421878	18.002912	3418
3879.466336	17.520390	3419
3880.516454	17.345900	3420
3881.561818	17.590999	3421
3882.612684	17.825445	3422
3883.655280	17.899092	3423
3884.704398	17.594317	3424
3885.750729	17.700963	3425
3886.799456	17.653187	3426
3887.848104	17.734191	3427
3888.891497	17.507007	3428
3889.941417	17.726559	3429
3890.986486	17.664081	3430
3892.037563	17.616379	3431
3893.079197	17.395905	3432
3894.134811	17.668967	3433
3895.173312	17.315420	3434
3896.228697	17.866993	3435
3897.266575	17.639274	3436
3898.322371	17.649014	3437
3899.363111	17.548673	3438
3900.418151	17.902365	3439
3901.457604	17.687608	3440
3902.511471	17.477527	3441
3903.554130	17.745882	3442
3904.608489	17.456064	3443
3905.648222	17.850472	3444
3906.699931	17.639057	3445
3907.745340	17.606661	3446
3908.792944	17.521072	3447
3909.842546	18.118945	3448
3910.887838	17.919797	3449
3911.937962	17.784609	3450
3912.981558	17.596060	3451
3914.031571	17.653677	3452
3915.076231	17.994926	3453
3916.127559	17.175511	3454
3917.169730	18.064184	3455
3918.222043	17.660949	3456
3919.263962	17.673914	3457
3920.315599	17.354927	3458
3921.359793	17.895979	3459
3922.408935	17.547255	3460
3923.456740	17.939089	3461
3924.502081	17.764040	3462
3925.552193	17.525732	3463
3926.598618	17.593791	3464
3927.646918	17.602857	3465
3928.690746	17.683831	3466
3929.742577	17.666310	3467
3930.784697	16.943749	3468
3931.835248	18.082925	3469
3932.879369	17.729242	3470
3933.930650	17.106331	3471
3934.976079	17.853898	3472
3936.026425	17.732704	3473
3937.068805	17.345835	3474
3938.119642	18.243556	3475
3939.165811	18.031200	3476
3940.212828	17.802373	3477
3941.257188	17.089917	3478
3942.306434	17.870435	3479
3943.356620	17.323590	3480
3944.403079	17.518588	3481
3945.450758	17.746384	3482
3946.496992	17.886188	3483
3947.549137	17.685263	3484
3948.589006	17.813028	3485
3949.639659	17.860034	3486
3950.684031	17.635696	3487
3951.738789	17.741514	3488
3952.779713	17.897202	3489
3953.830984	17.795406	3490
3954.873346	17.470507	3491
3955.927418	17.661811	3492
3956.973816	17.815418	3493
3958.018676	17.607029	3494
3959.065817	17.961498	3495
3960.112311	17.765911	3496
3961.160273	17.575683	3497
3962.204216	17.976129	3498
3963.257682	17.487761	3499
3964.301489	17.619688	3500
3965.352194	17.629649	3501
3966.395557	18.367650	3502
3967.446131	18.190902	3503
3968.490148	17.808415	3504
3969.542241	17.606889	3505
3970.584276	17.979469	3506
3971.638218	17.541129	3507
3972.677185	17.690286	3508
3973.731301	17.638024	3509
3974.774757	17.788802	3510
