time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5240.128174	272.836823	1.226943	0.120113	107
5242.221903	273.158539	1.225734	0.118623	109
5244.315425	273.437225	1.224276	0.117267	111
5246.408874	273.658356	1.223638	0.115700	113
5248.503946	273.728760	1.222668	0.114204	115
5250.599476	273.659882	1.221375	0.112796	117
5252.695109	273.451050	1.218751	0.111311	119
5254.791011	273.210815	1.216741	0.109908	121
5256.887380	272.956482	1.214870	0.108640	123
5258.983091	272.744537	1.214683	0.107675	125
5261.078473	272.642242	1.214190	0.106632	127
5263.173308	272.572021	1.214038	0.105421	129
5265.268352	272.611572	1.212561	0.104176	131
5267.362746	272.712891	1.212026	0.103012	133
5269.456669	272.884491	1.211223	0.101621	135
5271.550353	273.050751	1.213194	0.100378	137
5273.644062	273.206696	1.213994	0.099434	139
5275.736957	273.424530	1.213573	0.098089	141
5277.829937	273.669098	1.212747	0.096732	143
5279.922585	273.841553	1.210879	0.095320	145
5282.015888	273.975677	1.210275	0.094186	147
5284.109706	273.976685	1.207173	0.092866	149
5286.203980	273.973816	1.205368	0.091846	151
5288.299220	273.921478	1.203844	0.090602	153
5290.394381	273.853729	1.202389	0.089546	155
5292.490337	273.850769	1.200416	0.087784	157
5294.585629	273.796692	1.199093	0.086514	159
5296.681208	273.800690	1.198775	0.085247	161
5298.776222	273.772308	1.198220	0.084055	163
5300.870985	273.773682	1.198655	0.082634	165
5302.965521	273.809357	1.197768	0.081271	167
5305.059881	273.860138	1.195895	0.080101	169
5307.153432	273.996094	1.194874	0.078877	171
5309.247046	274.115753	1.193634	0.077534	173
5311.340361	274.267303	1.192627	0.075902	175
5313.433713	274.452118	1.190222	0.074348	177
5315.527173	274.624512	1.188140	0.072827	179
5317.620912	274.801086	1.185745	0.071256	181
5319.715292	274.868164	1.184663	0.069542	183
5321.810505	274.886871	1.182697	0.068140	185
5323.905976	274.842346	1.180465	0.066803	187
5326.001511	274.711884	1.178614	0.065571	189
5328.097479	274.562103	1.178179	0.064358	191
5330.193254	274.404236	1.176903	0.063399	193
5332.288585	274.329102	1.176330	0.062040	195
5334.383721	274.262695	1.175754	0.061041	197
5336.478703	274.256317	1.174234	0.059774	199
5338.573053	274.299255	1.173429	0.058730	201
5340.667292	274.376801	1.174073	0.057440	203
5342.761192	274.440155	1.173077	0.056395	205
5344.854666	274.603241	1.173743	0.055063	207
5346.947920	274.671844	1.172892	0.053908	209
5349.041196	274.764801	1.172855	0.052713	211
5351.134069	274.814484	1.173055	0.051434	213
5353.227385	274.821106	1.170604	0.050245	215
5355.321213	274.846130	1.167883	0.049163	217
5357.415384	274.800690	1.166640	0.048117	219
5359.510094	274.710968	1.165604	0.046932	221
5361.605219	274.709106	1.163878	0.045674	223
5363.700419	274.729462	1.162456	0.044334	225
5365.795921	274.735870	1.161447	0.043112	227
5367.891225	274.752045	1.160627	0.041902	229
5369.986162	274.740997	1.159943	0.040593	231
5372.081096	274.787506	1.158890	0.039458	233
5374.175621	274.789978	1.157569	0.038472	235
5376.269729	274.806610	1.156693	0.036749	237
5378.363844	274.886353	1.155735	0.035675	239
5380.457375	274.905670	1.153938	0.034334	241
5382.551282	275.005219	1.153068	0.033243	243
5384.644518	275.062836	1.152171	0.031941	245
5386.738424	275.153992	1.150963	0.030521	247
5388.832396	275.262604	1.151403	0.029247	249
5390.926487	275.307465	1.150398	0.028127	251
5393.021585	275.371246	1.148768	0.026747	253
5395.116756	275.346375	1.147374	0.025552	255
5397.212513	275.296753	1.145273	0.024517	1
5399.308340	275.228485	1.142772	0.023287	3
5401.403891	275.148529	1.141474	0.022161	5
5403.499200	275.073883	1.140816	0.020949	7
5405.594547	275.071442	1.139786	0.019466	9
5407.689103	275.039581	1.138001	0.018515	11
5409.783634	275.063324	1.136523	0.017580	13
5411.877764	275.047363	1.136493	0.016596	15
5413.971690	275.092194	1.135623	0.015383	17
