time (s)	det(V)
5240.964093	-0.339072	
5240.965597	-0.350440	
5240.967116	-0.360092	
5240.968652	-0.366517	
5240.970131	-0.396584	
5240.971706	-0.399807	
5240.973188	-0.407283	
5240.974762	-0.421580	
5240.976247	-0.434966	
5240.977825	-0.450000	
5240.979307	-0.459374	
5240.980861	-0.479265	
5240.982352	-0.493369	
5240.983902	-0.507492	
5240.985400	-0.519621	
5240.986958	-0.551896	
5240.988453	-0.560243	
5240.989996	-0.576872	
5240.991508	-0.595885	
5240.993036	-0.614899	
5240.994557	-0.633018	
5240.996043	-0.648701	
5240.997602	-0.671871	
5240.999098	-0.690913	
5241.000659	-0.710241	
5241.002159	-0.726286	
5241.003711	-0.761884	
5241.005210	-0.775867	
5241.006756	-0.796886	
5241.008287	-0.821185	
5241.009804	-0.842986	
5241.011331	-0.862141	
5241.012842	-0.884692	
5241.014394	-0.911581	
5241.015879	-0.933688	
5241.017439	-0.955719	
5241.018923	-0.976839	
5241.020476	-1.014980	
5241.021971	-1.031464	
5241.023503	-1.055065	
5241.025026	-1.082450	
5241.026544	-1.109278	
5241.028082	-1.125775	
5241.029604	-1.152096	
5241.031137	-1.179238	
5241.032621	-1.201386	
5241.034192	-1.224287	
5241.035681	-1.240505	
5241.037225	-1.274798	
5241.038715	-1.291963	
5241.040276	-1.315525	
5241.041767	-1.340456	
5241.043301	-1.364775	
5241.044812	-1.376501	
5241.046334	-1.401408	
5241.047859	-1.423931	
5241.049344	-1.442203	
5241.050915	-1.461209	
5241.052416	-1.478349	
5241.053969	-1.505637	
5241.055469	-1.515611	
5241.057016	-1.532143	
5241.058524	-1.548490	
5241.060038	-1.565454	
5241.061600	-1.565595	
5241.063081	-1.582876	
5241.064633	-1.593620	
5241.066116	-1.601120	
5241.067662	-1.607912	
5241.069158	-1.608822	
5241.070681	-1.621238	
5241.072183	-1.621326	
5241.073696	-1.621423	
5241.075225	-1.621471	
5241.076750	-1.621339	
5241.078267	-1.621069	
5241.079759	-1.621367	
5241.081329	-1.621427	
5241.082816	-1.620819	
5241.084388	-1.615953	
5241.085875	-1.601817	
5241.087420	-1.603711	
5241.088901	-1.585349	
5241.090459	-1.571540	
5241.091949	-1.561031	
5241.093504	-1.548583	
5241.095027	-1.521251	
5241.096550	-1.509959	
5241.098071	-1.493210	
5241.099601	-1.472786	
5241.101116	-1.452000	
5241.102601	-1.430727	
5241.104160	-1.416482	
5241.105657	-1.389702	
5241.107213	-1.364960	
5241.108710	-1.342450	
5241.110258	-1.321253	
5241.111762	-1.280059	
5241.113290	-1.263084	
5241.114828	-1.238096	
5241.116346	-1.214543	
5241.117882	-1.185212	
5241.119363	-1.157038	
5241.120937	-1.130065	
5241.122435	-1.095562	
5241.123975	-1.065253	
5241.125465	-1.037486	
5241.127015	-1.007700	
5241.128503	-0.960634	
5241.130042	-0.937970	
5241.131553	-0.907049	
5241.133083	-0.874544	
5241.134612	-0.841520	
5241.136124	-0.811332	
5241.137669	-0.783806	
5241.139161	-0.747290	
5241.140728	-0.715265	
5241.142218	-0.684025	
5241.143760	-0.657716	
5241.145245	-0.609976	
5241.146785	-0.586685	
5241.148314	-0.556516	
5241.149841	-0.522566	
5241.151358	-0.489018	
5241.152882	-0.457190	
5241.154407	-0.428782	
5241.155888	-0.397994	
5241.157440	-0.367157	
5241.158927	-0.336022	
5241.160482	-0.305806	
5241.162007	-0.259811	
5241.163495	-0.237703	
5241.165073	-0.206202	
5241.166563	-0.171961	
5241.168119	-0.142502	
5241.169605	-0.111093	
5241.171156	-0.081441	
5241.172640	-0.044299	
5241.174192	-0.013309	
5241.175676	0.018216	
5241.177220	0.050572	
5241.178718	0.097775	
5241.180257	0.120817	
5241.181777	0.152383	
5241.183272	0.189355	
5241.184867	0.220861	
5241.186363	0.249921	
5241.187923	0.280250	
5241.189427	0.316231	
5241.190965	0.348506	
5241.192461	0.379101	
5241.194009	0.411388	
5241.195498	0.451007	
5241.197034	0.475990	
5241.198533	0.511766	
5241.200055	0.546728	
5241.201576	0.579897	
5241.203092	0.607531	
5241.204606	0.639423	
5241.206098	0.674567	
5241.207647	0.704928	
5241.209128	0.737114	
5241.210666	0.766126	
5241.212150	0.810426	
5241.213682	0.835615	
5241.215172	0.867877	
5241.216711	0.901506	
5241.218228	0.933346	
5241.219740	0.962708	
5241.221259	0.988840	
5241.222750	1.023822	
5241.224293	1.052709	
5241.225781	1.077652	
5241.227327	1.107002	
5241.228813	1.147342	
5241.230348	1.167915	
5241.231842	1.194985	
5241.233366	1.226317	
5241.234882	1.248493	
5241.236410	1.267805	
5241.237918	1.292906	
5241.239413	1.320306	
5241.240937	1.342583	
5241.242425	1.364477	
5241.243970	1.385617	
5241.245461	1.417985	
5241.247002	1.432003	
5241.248487	1.450497	
5241.250025	1.471263	
5241.251541	1.487719	
5241.253051	1.500010	
5241.254583	1.514081	
5241.256074	1.532015	
5241.257621	1.541606	
5241.259110	1.551600	
5241.260658	1.560813	
5241.262146	1.582240	
5241.263656	1.582167	
5241.265168	1.588955	
5241.266685	1.594035	
5241.268233	1.598587	
5241.269713	1.600580	
5241.271251	1.600158	
5241.272737	1.602961	
5241.274267	1.602107	
5241.275775	1.597644	
5241.277297	1.593132	
5241.278797	1.600395	
5241.280319	1.588685	
5241.281821	1.581853	
5241.283347	1.576181	
5241.284863	1.566638	
5241.286347	1.554319	
5241.287908	1.540522	
5241.289390	1.530963	
5241.290933	1.517730	
5241.292429	1.501987	
5241.293967	1.484593	
5241.295454	1.481729	
5241.296989	1.457712	
5241.298476	1.441905	
5241.300001	1.425872	
5241.301502	1.406025	
5241.303033	1.385146	
5241.304543	1.363534	
5241.306029	1.346104	
5241.307575	1.321889	
5241.309063	1.302727	
5241.310606	1.276462	
5241.312100	1.266468	
5241.313638	1.242354	
5241.315136	1.220114	
5241.316659	1.200093	
5241.318177	1.178485	
5241.319699	1.151435	
5241.321228	1.125150	
5241.322711	1.105150	
5241.324254	1.080142	
5241.325742	1.054461	
5241.327273	1.031169	
5241.328762	1.017530	
5241.330310	0.989259	
5241.331794	0.963933	
5241.333315	0.945100	
5241.334822	0.918735	
5241.336342	0.895576	
5241.337848	0.872115	
5241.339333	0.852957	
5241.340886	0.827530	
5241.342374	0.802671	
5241.343912	0.780737	
5241.345404	0.770642	
5241.346939	0.741626	
5241.348436	0.720956	
5241.349959	0.701504	
5241.351469	0.682192	
5241.352983	0.660999	
5241.354504	0.641325	
5241.355983	0.627197	
5241.357525	0.604651	
5241.359013	0.587011	
5241.360557	0.565423	
5241.362070	0.561089	
5241.363564	0.536782	
5241.365098	0.519001	
5241.366615	0.506171	
5241.368176	0.488869	
5241.369654	0.472143	
5241.371201	0.454076	
5241.372682	0.442777	
5241.374205	0.427232	
5241.375700	0.418357	
5241.377234	0.403597	
5241.378734	0.404637	
5241.380256	0.382493	
5241.381756	0.370565	
5241.383270	0.362218	
5241.384798	0.350726	
5241.386278	0.336675	
5241.387822	0.324719	
5241.389310	0.316936	
5241.390855	0.303792	
5241.392344	0.293226	
5241.393878	0.281217	
5241.395365	0.282981	
5241.396905	0.267815	
5241.398391	0.257087	
5241.399919	0.250122	
5241.401442	0.243033	
5241.402953	0.232845	
5241.404465	0.221876	
5241.405948	0.218573	
5241.407494	0.207966	
5241.408986	0.200832	
5241.410520	0.192095	
5241.412003	0.198741	
5241.413544	0.183252	
5241.415032	0.177987	
5241.416572	0.173399	
5241.418082	0.168803	
5241.419608	0.160460	
5241.421111	0.153821	
5241.422592	0.148375	
5241.424126	0.143493	
5241.425610	0.136210	
5241.427147	0.128951	
5241.428632	0.138590	
5241.430163	0.126260	
5241.431680	0.118948	
5241.433182	0.117087	
5241.434707	0.113417	
5241.436224	0.108483	
5241.437742	0.102344	
5241.439227	0.102142	
5241.440779	0.094996	
5241.442270	0.093441	
5241.443812	0.085557	
5241.445294	0.096136	
5241.446827	0.083004	
5241.448330	0.081074	
5241.449854	0.080361	
5241.451354	0.078085	
5241.452883	0.072147	
5241.454395	0.066761	
5241.455887	0.069468	
5241.457435	0.062649	
5241.458926	0.059982	
5241.460470	0.055502	
5241.461968	0.067382	
5241.463490	0.058197	
5241.465006	0.055047	
5241.466484	0.052924	
5241.468038	0.053621	
5241.469520	0.049101	
5241.471052	0.045476	
5241.472537	0.042543	
5241.474073	0.042676	
5241.475570	0.039389	
5241.477083	0.032235	
5241.478592	0.045871	
5241.480116	0.037721	
5241.481633	0.036021	
5241.483125	0.034740	
5241.484669	0.033536	
5241.486162	0.032923	
5241.487710	0.028496	
5241.489198	0.028077	
5241.490751	0.027066	
5241.492244	0.024541	
5241.493798	0.019098	
5241.495291	0.030257	
5241.496811	0.021914	
5241.498330	0.020315	
5241.499841	0.020544	
5241.501355	0.020637	
5241.502865	0.019711	
5241.504379	0.014651	
5241.505861	0.018212	
5241.507404	0.016367	
5241.508891	0.014526	
5241.510434	0.009640	
5241.511924	0.020484	
5241.513459	0.012762	
5241.514974	0.011263	
5241.541064	0.024790	
5241.542548	0.018220	
5241.544105	0.014393	
5241.545596	0.021652	
5241.547143	0.016258	
5241.548632	0.013853	
5241.550168	0.014397	
5241.551672	0.011759	
5241.553192	0.007726	
5241.554716	0.008878	
5241.556233	0.010635	
5241.557765	0.006014	
5241.559245	0.002494	
5241.560792	0.000226	
5241.562277	0.010969	
5241.563821	0.003613	
5241.565338	0.003908	
5241.566825	0.005309	
5241.568354	0.003283	
5241.569864	-0.000649	
5241.571419	0.000306	
5241.572904	0.001781	
5241.574447	-0.001374	
5241.575930	-0.001656	
5241.577464	-0.004004	
5241.578957	0.007332	
5241.580482	0.000693	
5241.581987	0.000105	
5241.583517	0.002788	
5241.585018	0.001885	
5241.586515	-0.001281	
5241.588057	-0.002296	
5241.589539	-0.000290	
5241.591092	-0.001321	
5241.592578	-0.002647	
5241.594101	-0.005378	
5241.595590	0.005708	
5241.597119	-0.001233	
5241.598609	-0.001736	
5241.600151	0.001378	
5241.601644	0.000113	
5241.603162	-0.002167	
5241.604693	-0.002961	
5241.606202	-0.001386	
5241.607722	-0.002304	
5241.609205	-0.004528	
5241.610752	-0.005769	
5241.612237	0.004363	
5241.613776	-0.002224	
5241.615268	-0.002228	
5241.616802	0.000040	
5241.618311	-0.001055	
5241.619830	-0.003871	
5241.621336	-0.004633	
5241.622857	-0.001511	
5241.624377	-0.004040	
5241.625863	-0.004943	
5241.627395	-0.006594	
5241.628883	0.005301	
5241.630429	-0.002155	
5241.631920	-0.002107	
5241.633453	-0.001333	
5241.634977	-0.000584	
5241.636485	-0.002747	
5241.638003	-0.003670	
5241.639522	-0.000262	
5241.641044	-0.003448	
5241.642528	-0.004584	
5241.644088	-0.006925	
5241.645575	0.005321	
5241.647124	-0.001333	
5241.648619	-0.001136	
5241.650154	0.000459	
5241.651642	-0.001329	
5241.653172	-0.003690	
5241.654681	-0.005551	
5241.656204	-0.001011	
5241.657719	-0.003517	
5241.659212	-0.004036	
5241.660755	-0.005913	
5241.662249	0.004725	
5241.663799	-0.001942	
5241.665320	-0.003054	
5241.666806	-0.000584	
5241.668343	0.000089	
5241.669847	-0.003686	
5241.671391	-0.003718	
5241.672872	-0.001329	
5241.674412	-0.002763	
5241.675894	-0.004520	
5241.677428	-0.006171	
5241.678919	0.005954	
5241.680445	-0.002038	
5241.681939	-0.001184	
5241.683458	0.000383	
5241.684984	-0.000270	
5241.686480	-0.003082	
5241.688031	-0.002393	
5241.689519	-0.000902	
5241.691067	-0.001720	
5241.692554	-0.003686	
5241.694088	-0.004786	
5241.695583	0.005692	
5241.697124	-0.000221	
5241.698623	-0.000371	
5241.700154	0.001071	
5241.701651	-0.000189	
5241.703175	-0.001442	
5241.704690	-0.002208	
5241.706207	0.000020	
5241.707732	-0.001539	
5241.709214	-0.001998	
5241.710763	-0.003956	
5241.712250	0.008000	
5241.713789	0.000878	
5241.715278	-0.000262	
5241.716817	0.001470	
5241.718313	0.001470	
5241.719827	-0.001551	
5241.721355	-0.002151	
5241.722866	0.001269	
5241.724393	-0.001293	
5241.725876	-0.002095	
5241.727428	-0.003448	
5241.728920	0.007601	
5241.730460	0.000024	
5241.731951	-0.000318	
5241.733487	0.001511	
5241.734982	0.000910	
5241.736515	-0.000685	
5241.738031	-0.001273	
5241.739555	0.000238	
5241.741071	-0.000810	
5241.742552	-0.001575	
5241.744082	-0.004749	
5241.745572	0.008278	
5241.747107	0.000467	
5241.748596	-0.001821	
5241.750135	0.002530	
5241.751641	0.002123	
5241.753168	-0.000709	
5241.754685	-0.000556	
5241.756200	0.001998	
5241.757715	0.000177	
5241.759198	-0.000790	
5241.760753	-0.003170	
5241.762239	0.009277	
5241.763789	0.001583	
5241.765280	0.001442	
5241.766827	0.003009	
5241.768323	0.002199	
5241.769825	0.000435	
5241.771378	-0.000524	
5241.772865	0.001426	
5241.774412	0.000230	
5241.775901	-0.000681	
5241.777427	-0.002647	
5241.778932	0.007928	
5241.780453	0.001043	
5241.781961	0.000435	
5241.783480	0.003110	
5241.784997	0.001285	
5241.786484	0.000214	
5241.788037	-0.001096	
5241.789521	0.000342	
5241.791068	-0.000669	
5241.792549	-0.001023	
5241.794085	-0.003847	
5241.795571	0.007267	
5241.797112	-0.000209	
5241.798597	0.000125	
5241.800133	0.001180	
5241.801623	0.002075	
5241.803147	-0.000814	
5241.804662	-0.002187	
5241.806187	0.000572	
5241.807709	-0.001325	
5241.809198	-0.001559	
5241.810737	-0.004346	
5241.812231	0.006868	
5241.813766	0.000338	
5241.815261	-0.000596	
5241.816789	0.000959	
5241.818301	0.001994	
5241.819822	-0.001652	
5241.821341	-0.002473	
5241.822859	-0.001035	
5241.824389	-0.001490	
5241.825869	-0.003166	
5241.827416	-0.004488	
5241.828902	0.005958	
5241.830441	-0.000919	
5241.831926	-0.001821	
5241.833468	0.001325	
5241.834957	0.000181	
5241.836481	-0.003295	
5241.837994	-0.003327	
5241.839522	-0.001434	
5241.841043	-0.003694	
5241.842521	-0.004947	
5241.844074	-0.007988	
5241.845560	0.004040	
5241.847107	-0.004258	
5241.848602	-0.003859	
5241.850134	-0.002151	
5241.851620	-0.002119	
5241.853152	-0.004713	
5241.854670	-0.006731	
5241.856191	-0.004770	
5241.857719	-0.006655	
5241.859199	-0.007791	
5241.860738	-0.010212	
5241.862219	0.000834	
5241.863769	-0.005938	
5241.865255	-0.006909	
5241.866798	-0.005313	
5241.868308	-0.005934	
5241.869792	-0.008041	
5241.871333	-0.011001	
5241.872817	-0.007513	
5241.874364	-0.011166	
5241.875852	-0.013128	
5241.877381	-0.015751	
5241.878875	-0.003392	
5241.880403	-0.011855	
5241.881924	-0.011980	
5241.883410	-0.010852	
5241.884961	-0.012730	
5241.886451	-0.014699	
5241.887987	-0.017644	
5241.889466	-0.015904	
5241.891007	-0.016822	
5241.892494	-0.020456	
5241.894029	-0.022418	
5241.895519	-0.012722	
5241.897046	-0.020299	
5241.898552	-0.020283	
5241.900084	-0.019537	
5241.901607	-0.020669	
5241.903119	-0.023127	
5241.904635	-0.027409	
5241.906150	-0.025362	
